Query Point,K-Value,Time Taken (nanoseconds)
"314758, 5.80985e+06, 1.89",1,35061
,2,72957
,3,160997
,4,334802
,5,348997
,6,436493
,7,426583
,8,628194
,9,647997
,10,774693
,11,726298
,12,768890
,13,702574
,14,790607
,15,813179
,16,908110
,17,829259
,18,926616
,19,1705433
,20,2823534
,21,2428189
,22,2638812
,23,2438131
,24,2753285
,25,2502841
,26,2850988
,27,2589162
,28,2563896
,29,1015391
,30,1031999
,31,1019998
,32,1122388
,33,1094863
,34,1208435
,35,1157461
,36,1227020
,37,1159707
,38,1218418
,39,1130641
,40,1222434
,41,1190709
,42,1281691
,43,1206233
,44,1463255
,45,1347950
,46,1521156
,47,1313804
,48,1367745
,49,1236492
,50,1323285
,51,1311469
,52,1419488
,53,1318865
,54,1418666
,55,1320120
,56,1422739
,57,1334720
,58,1436532
,59,1342623
,60,1446087
,61,1363379
,62,1629314
,63,1461568
,64,1597320
,65,1503878
,66,1613662
,67,1538217
,68,1641947
,69,1533668
,70,1645321
,71,1543298
,72,1639970
,73,1572565
,74,1681506
,75,1585354
,76,1691203
,77,1654666
,78,1864732
,79,1655526
,80,1738290
,81,1646745
,82,1818467
,83,1694537
,84,2032669
,85,1741262
,86,1823976
,87,1754396
,88,1925114
,89,1807328
,90,1923871
,91,1818869
,92,1915624
,93,1820169
,94,1945997
,95,1829045
,96,1948982
,97,1893001
,98,2026505
,99,1912008
,100,2041127
"314833, 5.80976e+06, 2.22",1,22013
,2,143977
,3,181022
,4,206997
,5,539581
,6,677985
,7,715955
,8,809539
,9,727576
,10,824669
,11,741923
,12,826711
,13,746638
,14,866934
,15,892511
,16,994789
,17,888633
,18,996143
,19,904978
,20,997303
,21,917932
,22,1008438
,23,954941
,24,1042202
,25,979323
,26,1019999
,27,931899
,28,1022727
,29,976076
,30,1069998
,31,1079541
,32,1178147
,33,1178771
,34,1256601
,35,1102658
,36,1208967
,37,1122159
,38,1215410
,39,1121894
,40,1211929
,41,1118770
,42,1208853
,43,1118982
,44,1212892
,45,1121725
,46,1222366
,47,1146391
,48,1227398
,49,1136950
,50,1247017
,51,1148459
,52,1244938
,53,1177830
,54,1247215
,55,1156510
,56,1259991
,57,1222930
,58,1427615
,59,1272938
,60,1376353
,61,1340019
,62,1390580
,63,1398596
,64,1501421
,65,1472129
,66,1508319
,67,1415612
,68,1520505
,69,1425634
,70,1527728
,71,1426929
,72,1591143
,73,1425835
,74,1524967
,75,1435688
,76,1533517
,77,1424936
,78,1527517
,79,1469711
,80,1528897
,81,1452353
,82,1595527
,83,1459994
,84,1557018
,85,1532117
,86,1568232
,87,1470965
,88,1569947
,89,1469895
,90,1569905
,91,1461727
,92,1564078
,93,1461668
,94,1559994
,95,1465575
,96,1562606
,97,1774642
,98,1902106
,99,1794999
,100,1914494
"314664, 5.80983e+06, 10.75",1,20997
,2,62021
,3,113981
,4,168994
,5,151670
,6,188006
,7,192677
,8,212998
,9,204979
,10,230000
,11,224999
,12,247999
,13,229795
,14,253996
,15,261047
,16,281961
,17,260019
,18,283522
,19,265989
,20,287998
,21,267027
,22,333981
,23,308000
,24,335002
,25,309989
,26,333230
,27,312984
,28,333021
,29,313976
,30,338004
,31,343008
,32,370007
,33,359981
,34,386904
,35,365010
,36,385991
,37,371951
,38,397016
,39,398990
,40,430990
,41,402957
,42,427003
,43,404004
,44,444939
,45,418994
,46,446991
,47,420942
,48,449971
,49,517030
,50,580516
,51,560066
,52,550862
,53,518659
,54,551000
,55,523982
,56,553019
,57,539470
,58,574988
,59,607065
,60,573225
,61,566976
,62,610378
,63,611991
,64,663567
,65,632820
,66,668849
,67,635005
,68,671550
,69,635967
,70,671934
,71,637014
,72,725000
,73,638853
,74,731500
,75,649378
,76,684167
,77,642008
,78,678653
,79,649943
,80,684232
,81,659667
,82,694987
,83,761448
,84,812953
,85,771999
,86,814943
,87,771587
,88,848925
,89,803298
,90,851195
,91,816454
,92,860014
,93,813486
,94,858940
,95,813485
,96,861582
,97,829983
,98,897290
,99,855439
,100,898977
"314942, 5.80962e+06, 4.99",1,20995
,2,50003
,3,55814
,4,61979
,5,60000
,6,64996
,7,68998
,8,105002
,9,95998
,10,111008
,11,105001
,12,135991
,13,132008
,14,142000
,15,142205
,16,160310
,17,149018
,18,158981
,19,194984
,20,209019
,21,196002
,22,246979
,23,231285
,24,248990
,25,232139
,26,253015
,27,337637
,28,366950
,29,341986
,30,372989
,31,376000
,32,403341
,33,380990
,34,431001
,35,406909
,36,466024
,37,434985
,38,470494
,39,439679
,40,467001
,41,472905
,42,529009
,43,492984
,44,531473
,45,499001
,46,538398
,47,502023
,48,536976
,49,502499
,50,536997
,51,526994
,52,565896
,53,528999
,54,563982
,55,526023
,56,563986
,57,537874
,58,576654
,59,540389
,60,582990
,61,548326
,62,664629
,63,650018
,64,693606
,65,674017
,66,717766
,67,686435
,68,855184
,69,699098
,70,748627
,71,730956
,72,772999
,73,725527
,74,764999
,75,727668
,76,821526
,77,775525
,78,820430
,79,776525
,80,904014
,81,910321
,82,922999
,83,868525
,84,930525
,85,881055
,86,949547
,87,909060
,88,964000
,89,911524
,90,967525
,91,913000
,92,965524
,93,911572
,94,960999
,95,922524
,96,1013923
,97,957526
,98,1023648
,99,974950
,100,1049183
"314503, 5.80959e+06, 10.96",1,23000
,2,32000
,3,34000
,4,65000
,5,61566
,6,102958
,7,131999
,8,147000
,9,157000
,10,178502
,11,239093
,12,206434
,13,189008
,14,206997
,15,263992
